cd_cvm,name,quarter_prev,quarter_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA S.A.,2015Q1,2015Q2,0.982,7416,7685,font_heading,font_heading,AXIA3,2015-08-14,2015-08-14,2015-11-16,0.1923809523463038,-0.01392448200223928,0.2063054343485431
2437,AXIA ENERGIA S.A.,2015Q2,2015Q3,0.9656,7685,8021,font_heading,font_heading,AXIA3,2015-11-12,2015-11-12,2016-02-19,-0.01951219509105384,-0.11390277790219938,0.09439058281114554
2437,AXIA ENERGIA S.A.,2015Q3,2016Q1,0.9572,8021,7773,font_heading,font_heading,AXIA3,2016-05-11,2016-05-11,2016-08-09,1.380952380952381,0.09333839482105954,1.2876139861313214
2437,AXIA ENERGIA S.A.,2016Q1,2016Q2,0.992,7773,7935,font_heading,font_heading,AXIA3,2016-08-15,2016-08-15,2016-11-16,0.15949367083292154,0.02727725536038106,0.13221641547254048
2437,AXIA ENERGIA S.A.,2016Q2,2016Q3,0.986,7935,8036,font_heading,font_heading,AXIA3,2016-11-09,2016-11-09,2017-02-09,-0.0812420246751272,0.02697860690783993,-0.10822063158296713
2437,AXIA ENERGIA S.A.,2016Q3,2017Q1,0.9816,8036,8032,font_heading,font_heading,AXIA3,2017-05-12,2017-05-12,2017-08-10,-0.22000000037338308,-0.018027191838871914,-0.20197280853451116
2437,AXIA ENERGIA S.A.,2017Q1,2017Q2,0.9575,8032,7646,font_heading,font_heading,AXIA3,2017-08-14,2017-08-14,2017-11-14,0.4250182885101883,0.03722549105465256,0.38779279745553574
2437,AXIA ENERGIA S.A.,2017Q2,2017Q3,0.9346,7646,7767,font_heading,font_heading,AXIA3,2017-11-13,2017-11-13,2018-02-20,0.12987654300456475,0.1839082267761496,-0.05403168377158485
2437,AXIA ENERGIA S.A.,2017Q3,2018Q1,0.8288,7767,10553,font_heading,font_heading,AXIA3,2018-05-15,2018-05-15,2018-08-14,-0.19829877746278712,-0.07668598369419533,-0.1216127937685918
2437,AXIA ENERGIA S.A.,2018Q1,2018Q2,0.934,10553,9288,font_heading,font_heading,AXIA3,2018-08-14,2018-08-14,2018-11-14,0.5258620693246874,0.0937754724396076,0.4320865968850798
