cd_cvm,name,quarter_prev,quarter_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA S.A.,2015Q1,2015Q2,0.982,7416,7685,font_heading,font_heading,AXIA3,2015-08-14,2015-08-14,2015-11-16,0.1923809523463038,-0.0139244820022392,0.2063054343485431
2437,AXIA ENERGIA S.A.,2015Q2,2015Q3,0.9659,7685,8021,font_heading,font_heading,AXIA3,2015-11-12,2015-11-12,2016-02-19,-0.0195121950910538,-0.1139027779021993,0.0943905828111455
2437,AXIA ENERGIA S.A.,2015Q3,2016Q1,0.9569,8021,7773,font_heading,font_heading,AXIA3,2016-05-11,2016-05-11,2016-08-09,1.380952380952381,0.0933383948210595,1.2876139861313214
2437,AXIA ENERGIA S.A.,2016Q1,2016Q2,0.9921,7773,7935,font_heading,font_heading,AXIA3,2016-08-15,2016-08-15,2016-11-16,0.1594936708329215,0.027277255360381,0.1322164154725404
2437,AXIA ENERGIA S.A.,2016Q2,2016Q3,0.9863,7935,8036,font_heading,font_heading,AXIA3,2016-11-09,2016-11-09,2017-02-09,-0.0812420246751272,0.0269786069078399,-0.1082206315829671
2437,AXIA ENERGIA S.A.,2016Q3,2017Q1,0.9818,8036,8032,font_heading,font_heading,AXIA3,2017-05-12,2017-05-12,2017-08-10,-0.220000000373383,-0.0180271918388719,-0.2019728085345111
2437,AXIA ENERGIA S.A.,2017Q1,2017Q2,0.9576,8032,7646,font_heading,font_heading,AXIA3,2017-08-14,2017-08-14,2017-11-14,0.4250182885101883,0.0372254910546525,0.3877927974555357
2437,AXIA ENERGIA S.A.,2017Q2,2017Q3,0.9347,7646,7767,font_heading,font_heading,AXIA3,2017-11-13,2017-11-13,2018-02-20,0.1298765430045647,0.1839082267761496,-0.0540316837715848
2437,AXIA ENERGIA S.A.,2017Q3,2018Q1,0.8274,7767,10553,font_heading,font_heading,AXIA3,2018-05-15,2018-05-15,2018-08-14,-0.1982987774627871,-0.0766859836941953,-0.1216127937685918
2437,AXIA ENERGIA S.A.,2018Q1,2018Q2,0.9341,10553,9288,font_heading,font_heading,AXIA3,2018-08-14,2018-08-14,2018-11-14,0.5258620693246874,0.0937754724396076,0.4320865968850798
2437,AXIA ENERGIA S.A.,2018Q2,2018Q3,0.9534,9288,9358,font_heading,font_heading,AXIA3,2018-11-12,2018-11-12,2019-02-18,0.4987309646950035,0.128444648154276,0.3702863165407275
2437,AXIA ENERGIA S.A.,2018Q3,2019Q1,0.651,9358,5749,font_heading,font_heading,AXIA3,2019-05-13,2019-05-13,2019-08-12,0.426910298924267,0.1110764670726707,0.3158338318515963
2437,AXIA ENERGIA S.A.,2019Q1,2019Q2,0.7512,5749,7169,font_heading,font_heading,AXIA3,2019-08-12,2019-08-12,2019-11-07,-0.064027939464153,0.075213510840385,-0.1392414503045381
2437,AXIA ENERGIA S.A.,2019Q2,2019Q3,0.95,7169,8496,font_heading,font_heading,AXIA3,2019-11-11,2019-11-11,2020-02-14,-0.0732643139282727,0.0554899351650035,-0.1287542490932762
2437,AXIA ENERGIA S.A.,2019Q3,2020Q1,0.8358,8496,5545,font_heading,font_heading,AXIA3,2020-05-28,2020-05-28,2020-08-26,0.2807881773399014,0.157312859743558,0.1234753175963434
2437,AXIA ENERGIA S.A.,2020Q1,2020Q2,0.9598,5545,6390,font_heading,font_heading,AXIA3,2020-08-12,2020-08-12,2020-11-12,-0.0922776693615835,0.0038113825405561,-0.0960890519021396
2437,AXIA ENERGIA S.A.,2020Q2,2020Q3,0.0696,6390,430,font_heading,font_heading,AXIA3,2020-11-11,2020-11-11,2021-02-17,-0.1249271986022132,0.1483363567745197,-0.2732635553767329
2437,AXIA ENERGIA S.A.,2020Q3,2021Q1,0.1104,430,8727,font_heading,font_heading,AXIA3,2021-06-10,2021-06-10,2021-09-09,-0.1974845542806707,-0.1131284077629284,-0.0843561465177422
2437,AXIA ENERGIA S.A.,2021Q1,2021Q2,0.5561,8727,6966,font_heading,font_heading,AXIA3,2021-08-11,2021-08-11,2021-11-11,-0.0983935742971887,-0.1184835625908494,0.0200899882936607
2437,AXIA ENERGIA S.A.,2021Q2,2021Q3,0.1968,6966,15470,font_heading,font_heading,AXIA3,2021-11-16,2021-11-16,2022-02-15,0.0274963820549927,0.0998482237116973,-0.0723518416567046
2437,AXIA ENERGIA S.A.,2021Q3,2022Q1,0.1731,15470,6189,font_heading,font_heading,AXIA3,2022-06-06,2022-06-06,2022-09-02,0.1100238663484487,0.0061562317722838,0.1038676345761648
2437,AXIA ENERGIA S.A.,2022Q1,2022Q2,0.5942,6189,14862,font_heading,font_heading,AXIA3,2022-08-12,2022-08-12,2022-11-14,-0.0304904051172706,0.0035207963941767,-0.0340112015114474
2437,AXIA ENERGIA S.A.,2022Q2,2022Q3,0.6038,14862,7483,font_heading,font_heading,AXIA3,2022-11-09,2022-11-09,2023-02-08,-0.2297520661157024,-0.0319475006579057,-0.1978045654577966
2437,AXIA ENERGIA S.A.,2022Q3,2023Q1,0.1862,7483,2506,font_heading,font_heading,AXIA3,2023-05-04,2023-05-04,2023-08-02,0.1390453602134598,0.1828676358467302,-0.0438222756332704
2437,AXIA ENERGIA S.A.,2023Q1,2023Q2,0.2678,2506,10782,font_heading,font_heading,AXIA3,2023-08-07,2023-08-07,2023-11-07,0.0399889685603971,-0.0009334936065237,0.0409224621669208
2437,AXIA ENERGIA S.A.,2023Q2,2023Q3,0.9498,10782,12333,font_heading,font_heading,AXIA3,2023-11-08,2023-11-08,2024-02-09,0.1624933404368673,0.0742513614451554,0.0882419789917119
2437,AXIA ENERGIA S.A.,2023Q3,2024Q1,0.1063,12333,1472,font_heading,font_heading,AXIA3,2024-07-31,2024-07-31,2024-10-28,-0.0303260045489005,0.0278943949169228,-0.0582203994658233
